id;tps;delta;u;uplust;pi
12953;9.2897820611105;0;8.5;13.5;0.0952626316663319
12954;9.2897820611105;0;9;14;0.0946022497952413
12955;10.6998138210492;0;0;5;0.0524066419085767
12956;10.6998138210492;0;0.5;5.5;0.0590033164192371
12957;10.6998138210492;0;1;6;0.0649369444258553
12958;10.6998138210492;0;1.5;6.5;0.0247574648916349
12959;10.6998138210492;0;2;7;0.0280664533405625
12960;10.6998138210492;0;2.5;7.5;0.0288038082096614
12961;10.6998138210492;0;3;8;0.0293813666750654
12962;10.6998138210492;0;3.5;8.5;0.0298903950600878
12963;10.6998138210492;0;4;9;0.0303057157952685
12964;10.6998138210492;0;4.5;9.5;0.0424409199810625
12965;10.6998138210492;0;5;10;0.0320833175663573
12966;10.6998138210492;0;5.5;10.5;0.0323652266674418
12967;10.6998138210492;0;6;11;0.0325909053711282
12968;10.6998138210492;0;6.5;11.5;0.0316692070515988
12969;10.6998138210492;0;7;12;0.0317452121705332
12970;10.6998138210492;0;7.5;12.5;0.0327330085727839
12971;10.6998138210492;0;8;13;0.0301731438137572
12972;10.6998138210492;0;8.5;13.5;0.0300746311141755
12973;10.6998138210492;0;9;14;0.027497808064175
12974;10.6998138210492;0;9.5;14.5;0.0272511145579922
12975;10.6998138210492;0;10;15;0.0269862933693693
12976;10.6998138210492;0;10.5;15.5;0.0402829072344066
12977;3.63870331836601;1;0;5;0.0978647638658335
12978;3.63870331836601;1;0.5;5.5;0.110298926787928
12979;3.63870331836601;1;1;6;0.121530870468012
12980;3.63870331836601;1;1.5;6.5;0.116382085152837
12981;3.63870331836601;1;2;7;0.125015365702269
12982;3.63870331836601;1;2.5;7.5;0.239990098323951
12983;3.63870331836601;1;3;8;0.262595512288994
12984;3.63870331836601;1;3.5;8.5;0.732993705237605
12985;10.9872960245318;0;0;5;0.0563014038110928
12986;10.9872960245318;0;0.5;5.5;0.0632791509575664
12987;10.9872960245318;0;1;6;0.0833672589595549
12988;10.9872960245318;0;1.5;6.5;0.091225267743523
12989;10.9872960245318;0;2;7;0.059728328316649
12990;10.9872960245318;0;2.5;7.5;0.0624385588425902
12991;10.9872960245318;0;3;8;0.027423520793898
12992;10.9872960245318;0;3.5;8.5;0.0267578212182463
12993;10.9872960245318;0;4;9;0.0260157798081864
12994;10.9872960245318;0;4.5;9.5;0.019738263775434
12995;10.9872960245318;0;5;10;0.017218939319382
12996;10.9872960245318;0;5.5;10.5;0.0162684172197709
12997;10.9872960245318;0;6;11;0.0142900017233082
12998;10.9872960245318;0;6.5;11.5;0.0133977806241375
12999;10.9872960245318;0;7;12;0.0154585907431282
13000;10.9872960245318;0;7.5;12.5;0.0146309735599947
13001;10.9872960245318;0;8;13;0.020474648207194
13002;10.9872960245318;0;8.5;13.5;0.0197495531175245
13003;10.9872960245318;0;9;14;0.0324308085771297
13004;10.9872960245318;0;9.5;14.5;0.0320703174092145
13005;10.9872960245318;0;10;15;0.0428713648447818
13006;10.9872960245318;0;10.5;15.5;0.0429329389887553
13007;10.7627861132406;0;0;5;0.0347321843610078
13008;10.7627861132406;0;0.5;5.5;0.0391479631847991
13009;10.7627861132406;0;1;6;0.0431380280382765
13010;10.7627861132406;0;1.5;6.5;0.0394703935370744
13011;10.7627861132406;0;2;7;0.0422925211562993
13012;10.7627861132406;0;2.5;7.5;0.0291989878704583
13013;10.7627861132406;0;3;8;0.0299005884765641
13014;10.7627861132406;0;3.5;8.5;0.0307241312558731
13015;10.7627861132406;0;4;9;0.0314655083666505
13016;10.7627861132406;0;4.5;9.5;0.0198546397085322
13017;10.7627861132406;0;5;10;0.019621146820389
13018;10.7627861132406;0;5.5;10.5;0.0224881582782428
13019;10.7627861132406;0;6;11;0.0216883326767727
13020;10.7627861132406;0;6.5;11.5;0.0214868254316722
13021;10.7627861132406;0;7;12;0.0225820796771724
13022;10.7627861132406;0;7.5;12.5;0.022393885038793
13023;10.7627861132406;0;8;13;0.0221828739128387
13024;10.7627861132406;0;8.5;13.5;0.0488861483109747
13025;10.7627861132406;0;9;14;0.0503267159523767
13026;10.7627861132406;0;9.5;14.5;0.0517654666169285
13027;10.7627861132406;0;10;15;0.0532025288860716
13028;10.7627861132406;0;10.5;15.5;0.0613140403392957
13029;10.4725659840105;0;0;5;0.0907395502841566
13030;10.4725659840105;0;0.5;5.5;0.102349140292642
13031;10.4725659840105;0;1;6;0.112868791660929
13032;10.4725659840105;0;1.5;6.5;0.0770578344067442
13033;10.4725659840105;0;2;7;0.0816405630286124
13034;10.4725659840105;0;2.5;7.5;0.0741346095380792
13035;10.4725659840105;0;3;8;0.0769955310437598
13036;10.4725659840105;0;3.5;8.5;0.0748087222052258
13037;10.4725659840105;0;4;9;0.0768657194636403
13038;10.4725659840105;0;4.5;9.5;0.0784984222715917
13039;10.4725659840105;0;5;10;0.0802617540875044
13040;10.4725659840105;0;5.5;10.5;0.0976297469262882
13041;10.4725659840105;0;6;11;0.100497615232927
13042;10.4725659840105;0;6.5;11.5;0.0831805211261112
13043;10.4725659840105;0;7;12;0.0844048197243022
13044;10.4725659840105;0;7.5;12.5;0.0855237726481538
13045;10.4725659840105;0;8;13;0.0996267028009717
13046;10.4725659840105;0;8.5;13.5;0.101480106717814
13047;10.4725659840105;0;9;14;0.0906741689369976
13048;10.4725659840105;0;9.5;14.5;0.0916743252581835
13049;10.4725659840105;0;10;15;0.0926028114419031
13050;10.9407512868251;0;0;5;0.0694479320757294
13051;10.9407512868251;0;0.5;5.5;0.0782938344923877
13052;10.9407512868251;0;1;6;0.0621309063762473
13053;10.9407512868251;0;1.5;6.5;0.0667339048177114
13054;10.9407512868251;0;2;7;0.0710626457531696
13055;10.9407512868251;0;2.5;7.5;0.114708954896976
13056;10.9407512868251;0;3;8;0.123819284059196
13057;10.9407512868251;0;3.5;8.5;0.101988880473712
13058;10.9407512868251;0;4;9;0.107613223219433
13059;10.9407512868251;0;4.5;9.5;0.112703213494605
13060;10.9407512868251;0;5;10;0.118314888677249
13061;10.9407512868251;0;5.5;10.5;0.111482869325206
13062;10.9407512868251;0;6;11;0.116008252699581
13063;10.9407512868251;0;6.5;11.5;0.120495578523546
13064;10.9407512868251;0;7;12;0.124937726689492
13065;10.9407512868251;0;7.5;12.5;0.0860560325884202
13066;10.9407512868251;0;8;13;0.0849119480003392
13067;10.9407512868251;0;8.5;13.5;0.141452807660027
13068;10.9407512868251;0;9;14;0.146479329436934
13069;10.9407512868251;0;9.5;14.5;0.15151977494622
13070;10.9407512868251;0;10;15;0.134996662641378
13071;10.9407512868251;0;10.5;15.5;0.138570842738144
13072;10.9626546928047;0;0;5;0.14655160913894
13073;10.9626546928047;0;0.5;5.5;0.164087967825575
13074;10.9626546928047;0;1;6;0.177670264323199
13075;10.9626546928047;0;1.5;6.5;0.192089668673373
13076;10.9626546928047;0;2;7;0.311450549633968
13077;10.9626546928047;0;2.5;7.5;0.338078525888892
13078;10.9626546928047;0;3;8;0.363972390698049
13079;10.9626546928047;0;3.5;8.5;0.377504118306239
13080;10.9626546928047;0;4;9;0.402261714382343
13081;10.9626546928047;0;4.5;9.5;0.245377706500607
13082;10.9626546928047;0;5;10;0.166374439446038
13083;10.9626546928047;0;5.5;10.5;0.167806791378632
13084;10.9626546928047;0;6;11;0.168855700726896
13085;10.9626546928047;0;6.5;11.5;0.165821840306993
13086;10.9626546928047;0;7;12;0.139189661543462
13087;10.9626546928047;0;7.5;12.5;0.138164136307211
13088;10.9626546928047;0;8;13;0.137427167802436
13089;10.9626546928047;0;8.5;13.5;0.136194313606975
13090;10.9626546928047;0;9;14;0.114678164316486
13091;10.9626546928047;0;9.5;14.5;0.112584844325114
13092;10.9626546928047;0;10;15;0.139039725688668
13093;10.9626546928047;0;10.5;15.5;0.137800098140749
13094;6.29175336764867;1;0;5;0.129875381714241
13095;6.29175336764867;1;0.5;5.5;0.145653839012213
13096;6.29175336764867;1;1;6;0.20968979016711
13097;6.29175336764867;1;1.5;6.5;0.229339764328877
13098;6.29175336764867;1;2;7;0.271126543802674
13099;6.29175336764867;1;2.5;7.5;0.293073229349396
13100;6.29175336764867;1;3;8;0.308377377378796
13101;6.29175336764867;1;3.5;8.5;0.329359207840206
13102;6.29175336764867;1;4;9;0.0797673282941967
13103;6.29175336764867;1;4.5;9.5;0.0774070733037442
13104;6.29175336764867;1;5;10;0.244240687188649
13105;6.29175336764867;1;5.5;10.5;0.253582940527071
13106;6.29175336764867;1;6;11;0.262514847634338
13107;11.0201511335013;0;0;5;0.231510772016164
13108;11.0201511335013;0;0.5;5.5;0.258701835308108
13109;11.0201511335013;0;1;6;0.28244226217372
13110;11.0201511335013;0;1.5;6.5;0.233322621066023
13111;11.0201511335013;0;2;7;0.247355516086815
13112;11.0201511335013;0;2.5;7.5;0.0185991769641976
13113;11.0201511335013;0;3;8;0.0624638185654321
13114;11.0201511335013;0;3.5;8.5;0.0608411954224034
13115;11.0201511335013;0;4;9;0.0590332046200889
13116;11.0201511335013;0;4.5;9.5;0.128982748592517
13117;11.0201511335013;0;5;10;0.174165827547053
13118;11.0201511335013;0;5.5;10.5;0.179831942279694
13119;11.0201511335013;0;6;11;0.303073679646573
13120;11.0201511335013;0;6.5;11.5;0.319479921435148
13121;11.0201511335013;0;7;12;0.335820269860148
13122;11.0201511335013;0;7.5;12.5;0.37586139614728
13123;11.0201511335013;0;8;13;0.394654997840678
13124;11.0201511335013;0;8.5;13.5;0.356023595260049
13125;11.0201511335013;0;9;14;0.364424437260852
13126;11.0201511335013;0;9.5;14.5;0.379281599829371
13127;11.0201511335013;0;10;15;0.373556898440951
13128;11.0201511335013;0;10.5;15.5;0.387283709892924
13129;11.0201511335013;0;11;16;0.400909513231916
13130;10.5875588654036;0;0;5;0.072566294336244
13131;10.5875588654036;0;0.5;5.5;0.0817034581665667
13132;10.5875588654036;0;1;6;0.132529600248005
13133;10.5875588654036;0;1.5;6.5;0.146523619204538
13134;10.5875588654036;0;2;7;0.160539827167872
13135;10.5875588654036;0;2.5;7.5;0.148227335490672
13136;10.5875588654036;0;3;8;0.146436573536633
13137;10.5875588654036;0;3.5;8.5;0.1559590201338
13138;10.5875588654036;0;4;9;0.121376090870008
13139;10.5875588654036;0;4.5;9.5;0.126126975746713
13140;10.5875588654036;0;5;10;0.114310386869058
13141;10.5875588654036;0;5.5;10.5;0.117369574986262
13142;10.5875588654036;0;6;11;0.130568173205241
13143;10.5875588654036;0;6.5;11.5;0.134277748330929
13144;10.5875588654036;0;7;12;0.15170567028577
13145;10.5875588654036;0;7.5;12.5;0.156404414112001
13146;10.5875588654036;0;8;13;0.169049911598792
13147;10.5875588654036;0;8.5;13.5;0.174335148988625
13148;10.5875588654036;0;9;14;0.118096768990129
